Journey_ID,Ticket_ID,Date_of_Journey,Departure_Station,Departure_Station,Departure_Time,Arrival_Time,Actual_Arrival_Time,Journey_Status,Reason_for_Delay
2,4,1/1/2024,London Paddington,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
3,5,1/1/2024,London Kings Cross,York,45:00.0,35:00.0,40:00.0,Delayed,Signal Failure
4,6,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
5,7,1/1/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
6,8,1/1/2024,Liverpool Lime Street,London Euston,45:00.0,00:00.0,00:00.0,On-time,NULL
7,9,1/1/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
8,10,1/1/2024,London Euston,Oxford,30:00.0,40:00.0,40:00.0,On-time,NULL
9,11,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
10,12,1/1/2024,London Euston,York,00:00.0,50:00.0,07:00.0,Delayed,Signal Failure
11,13,1/1/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
12,14,1/1/2024,York,Durham,45:00.0,35:00.0,35:00.0,On-time,NULL
13,15,1/1/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
14,16,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
15,17,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
16,18,1/1/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
17,19,1/1/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
18,20,1/1/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
19,21,1/1/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
20,22,1/1/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
21,23,1/1/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
22,24,1/1/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,06:00.0,Delayed,Technical Issue
23,25,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
24,26,1/1/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
25,27,1/1/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
26,28,1/1/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
27,29,1/1/2024,Manchester Piccadilly,London Paddington,45:00.0,00:00.0,00:00.0,On-time,NULL
28,30,1/1/2024,Oxford,Bristol Temple Meads,15:00.0,30:00.0,54:00.0,Delayed,Signal Failure
29,31,1/1/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
30,32,1/1/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
31,33,1/1/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
32,34,1/1/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
33,35,1/1/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
34,36,1/1/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
35,37,1/1/2024,Birmingham New Street,Tamworth,45:00.0,05:00.0,05:00.0,On-time,NULL
36,38,1/1/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
37,39,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
38,40,1/1/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
39,41,1/1/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
40,42,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
41,43,1/2/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,NULL,Cancelled,Technical Issue
42,44,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
43,45,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
44,46,1/1/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
45,47,1/1/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
46,48,1/1/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
47,49,1/2/2024,Manchester Piccadilly,London Euston,30:00.0,20:00.0,31:00.0,Delayed,Weather Conditions
48,50,1/1/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
49,51,1/1/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
50,52,1/1/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
51,53,1/1/2024,London Paddington,London Waterloo,30:00.0,00:00.0,00:00.0,On-time,NULL
52,54,1/1/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
53,55,1/1/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,39:00.0,Delayed,Weather
54,56,1/1/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
55,57,1/1/2024,Manchester Piccadilly,Sheffield,15:00.0,00:00.0,00:00.0,On-time,NULL
56,58,1/1/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
57,59,1/1/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
58,60,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
59,61,1/2/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
60,62,1/2/2024,London St Pancras,Wolverhampton,30:00.0,00:00.0,00:00.0,On-time,NULL
61,63,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
62,64,1/1/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
63,65,1/2/2024,Manchester Piccadilly,London Euston,00:00.0,50:00.0,08:00.0,Delayed,Weather
64,66,1/1/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
65,67,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
66,68,1/1/2024,London St Pancras,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
67,69,1/1/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
68,70,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
69,71,1/1/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
70,72,1/1/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,15:00.0,On-time,NULL
71,73,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
72,74,1/1/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
73,75,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
74,76,1/1/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
75,77,1/2/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
76,78,1/1/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
77,79,1/2/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Technical Issue
78,80,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
79,81,1/2/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
80,82,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
81,83,1/2/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
82,84,1/2/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
83,85,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
84,86,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
85,87,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
86,88,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
87,89,1/2/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
88,90,1/2/2024,Oxford,Bristol Temple Meads,30:00.0,45:00.0,45:00.0,On-time,NULL
89,91,1/2/2024,York,Durham,45:00.0,35:00.0,35:00.0,On-time,NULL
90,92,1/2/2024,Manchester Piccadilly,London Euston,45:00.0,35:00.0,35:00.0,On-time,NULL
91,93,1/2/2024,York,Durham,45:00.0,35:00.0,35:00.0,On-time,NULL
92,94,1/2/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
93,95,1/2/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,NULL,Cancelled,Technical Issue
94,96,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
95,97,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
96,98,1/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
97,99,1/3/2024,York,Durham,45:00.0,35:00.0,35:00.0,On-time,NULL
98,100,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,45:00.0,15:00.0,15:00.0,On-time,NULL
99,101,1/3/2024,York,Durham,45:00.0,35:00.0,35:00.0,On-time,NULL
100,102,1/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
101,103,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
102,104,1/2/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
103,105,1/2/2024,Manchester Piccadilly,London Euston,30:00.0,20:00.0,31:00.0,Delayed,Weather Conditions
104,106,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
105,107,1/3/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
106,108,1/2/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
107,109,1/3/2024,Manchester Piccadilly,London Paddington,45:00.0,00:00.0,00:00.0,On-time,NULL
108,110,1/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
109,111,1/3/2024,Liverpool Lime Street,Leeds,45:00.0,15:00.0,15:00.0,On-time,NULL
110,112,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
111,113,1/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
112,114,1/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
113,115,1/2/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,NULL,Cancelled,Staffing
114,116,1/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
115,117,1/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
116,118,1/2/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
117,119,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
118,120,1/2/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
119,121,1/3/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
120,122,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
121,123,1/2/2024,London Kings Cross,York,15:00.0,05:00.0,35:00.0,Delayed,Technical Issue
122,124,1/3/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
123,125,1/2/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
124,126,1/2/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
125,127,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
126,128,1/2/2024,London Kings Cross,York,15:00.0,05:00.0,35:00.0,Delayed,Technical Issue
127,129,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
128,130,1/2/2024,Birmingham New Street,Stafford,30:00.0,00:00.0,00:00.0,On-time,NULL
129,131,1/2/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
130,132,1/2/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
131,133,1/2/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
132,134,1/3/2024,Manchester Piccadilly,London Euston,30:00.0,20:00.0,38:00.0,Delayed,Weather Conditions
133,135,1/2/2024,Birmingham New Street,London Euston,30:00.0,50:00.0,50:00.0,On-time,NULL
134,136,1/2/2024,York,Doncaster,30:00.0,00:00.0,00:00.0,On-time,NULL
135,137,1/2/2024,London Euston,Manchester Piccadilly,30:00.0,20:00.0,20:00.0,On-time,NULL
136,138,1/2/2024,London St Pancras,Wolverhampton,30:00.0,00:00.0,00:00.0,On-time,NULL
137,139,1/2/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
138,140,1/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
139,141,1/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
140,142,1/2/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
141,143,1/2/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
142,144,1/2/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
143,145,1/2/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
144,146,1/2/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
145,147,1/3/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
146,148,1/3/2024,Birmingham New Street,London St Pancras,30:00.0,50:00.0,50:00.0,On-time,NULL
147,149,1/2/2024,Reading,Swindon,30:00.0,15:00.0,15:00.0,On-time,NULL
148,150,1/2/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
149,151,1/2/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
150,152,1/2/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Staff Shortage
151,153,1/2/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Staff Shortage
152,154,1/3/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,15:00.0,On-time,NULL
153,155,1/2/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Staff Shortage
154,156,1/2/2024,London Euston,Manchester Piccadilly,00:00.0,50:00.0,50:00.0,On-time,NULL
