Passenger_ID,Railcard_Type
4,Adult
5,Adult
6,None
7,None
8,None
9,None
10,Adult
11,Disabled
12,None
13,None
14,None
15,Adult
16,None
17,None
18,Disabled
19,None
20,None
21,None
22,None
23,None
24,Adult
25,Disabled
26,Senior
27,None
28,None
29,None
30,Senior
31,None
32,None
33,None
34,None
35,None
36,None
37,None
38,None
39,None
40,None
41,None
42,Adult
43,None
44,None
45,Disabled
46,None
47,None
48,None
49,None
50,Disabled
51,Adult
52,None
53,None
54,None
55,None
56,None
57,None
58,None
59,None
60,None
61,Disabled
62,Disabled
63,None
64,Senior
65,None
66,None
67,Senior
68,None
69,None
70,Senior
71,Adult
72,None
73,None
74,None
75,None
76,Adult
77,None
78,None
79,Disabled
80,Adult
81,None
82,None
83,None
84,None
85,None
86,None
87,None
88,Adult
89,None
90,Adult
91,None
92,Adult
93,None
94,None
95,None
96,None
97,None
98,Disabled
99,Disabled
100,None
101,Disabled
102,Adult
103,None
104,None
105,None
106,Disabled
107,Disabled
108,None
109,None
110,None
111,None
112,None
113,Disabled
114,None
115,None
116,None
117,None
118,None
119,None
120,None
121,None
122,None
123,Adult
124,None
125,Senior
126,Senior
127,Senior
128,None
129,Senior
130,None
131,None
132,Disabled
133,None
134,None
135,Adult
136,Disabled
137,None
138,Disabled
139,None
140,Adult
141,None
142,None
143,None
144,None
145,None
146,None
147,None
148,None
149,None
150,None
151,None
152,None
153,None
154,Adult
155,None
156,None
157,None
158,None
159,None
160,None
161,Adult
162,Adult
163,None
164,Adult
165,None
166,None
167,None
168,None
169,None
170,None
171,None
172,None
173,Disabled
174,None
175,Adult
176,Adult
177,None
178,None
179,Senior
180,None
181,None
182,Senior
183,Adult
184,None
185,Disabled
186,Disabled
187,None
188,None
189,None
190,Adult
191,None
192,Adult
193,None
194,None
195,Adult
196,Adult
197,None
198,None
199,None
200,None
201,None
202,None
203,None
204,None
205,None
206,None
207,None
208,None
209,None
210,None
211,None
212,None
213,Disabled
214,Senior
215,None
216,Adult
217,Adult
218,None
219,None
220,None
221,Adult
222,None
223,None
224,None
225,None
226,Adult
227,None
228,None
229,None
230,Senior
231,None
232,None
233,None
234,None
235,Adult
236,Disabled
237,None
238,None
239,None
240,None
241,None
242,Adult
243,None
244,None
245,None
246,Disabled
247,None
248,Disabled
249,None
250,None
251,Adult
252,None
253,Disabled
254,Disabled
255,Disabled
256,Disabled
257,None
258,Adult
259,Adult
260,Adult
261,None
262,None
263,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,Senior
272,Senior
273,None
274,None
275,Senior
276,Disabled
277,None
278,None
279,Disabled
280,None
281,None
282,None
283,Disabled
284,None
285,None
286,None
287,Senior
288,None
289,Disabled
290,Adult
291,Adult
292,Senior
293,Adult
294,Adult
295,Adult
296,None
297,None
298,Adult
299,Adult
300,None
301,Adult
302,Adult
303,Adult
304,Senior
305,None
306,Senior
307,None
308,None
309,None
310,None
311,None
312,None
313,None
314,Adult
315,None
316,None
317,None
318,Senior
319,None
320,Adult
321,None
322,Adult
323,Adult
324,Adult
325,Adult
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,None
335,None
336,None
337,Adult
338,None
339,Adult
340,None
341,None
342,Adult
343,Adult
344,None
345,None
346,None
347,None
348,None
349,None
350,None
351,None
352,None
353,None
354,None
355,Adult
356,Adult
357,None
358,None
359,None
360,Adult
361,None
362,Adult
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,Disabled
371,None
372,None
373,None
374,None
375,Disabled
376,None
377,None
378,Disabled
379,None
380,None
381,Disabled
382,None
383,None
384,None
385,None
386,None
387,Adult
388,Adult
389,None
390,None
391,None
392,None
393,None
394,None
395,None
396,None
397,None
398,None
399,None
400,Senior
401,Senior
402,Senior
403,None
404,Senior
405,Disabled
406,Disabled
407,None
408,Disabled
409,Senior
410,None
411,None
412,None
413,None
414,None
415,None
416,None
417,None
418,Adult
419,None
420,None
421,None
422,None
423,None
424,None
425,Disabled
426,None
427,None
428,None
429,None
430,Disabled
431,None
432,None
433,None
434,None
435,None
436,Disabled
437,Adult
438,None
439,Adult
440,None
441,Adult
