Transaction_ID,Passenger_ID,Date_of_Purchase,Time_of_Purchase,Purchase_Type,Payment_Method,Price
4,4,12/8/2023,41:11.0,Online,Contactless,43
5,5,12/16/2023,23:01.0,Station,Credit Card,23
6,6,12/19/2023,51:27.0,Online,Credit Card,3
7,7,12/20/2023,00:36.0,Station,Credit Card,13
8,8,12/27/2023,22:56.0,Online,Contactless,76
9,9,12/30/2023,56:06.0,Online,Credit Card,35
10,10,12/31/2023,02:01.0,Station,Credit Card,2
11,11,12/31/2023,35:18.0,Station,Contactless,2
12,12,12/31/2023,43:09.0,Station,Credit Card,37
13,13,12/31/2023,05:52.0,Online,Credit Card,13
14,14,12/31/2023,26:37.0,Online,Contactless,8
15,15,12/31/2023,52:11.0,Online,Contactless,8
16,16,12/31/2023,55:22.0,Online,Contactless,3
17,17,12/31/2023,44:35.0,Online,Contactless,3
18,18,12/31/2023,05:50.0,Online,Credit Card,15
19,19,12/31/2023,16:53.0,Online,Credit Card,13
20,20,12/31/2023,23:15.0,Online,Credit Card,13
21,21,12/31/2023,09:20.0,Online,Credit Card,8
22,22,12/31/2023,12:21.0,Online,Credit Card,35
23,23,12/31/2023,42:22.0,Online,Credit Card,35
24,24,12/31/2023,57:15.0,Station,Debit Card,7
25,25,12/31/2023,11:47.0,Station,Credit Card,2
26,26,12/31/2023,33:39.0,Online,Credit Card,23
27,27,12/31/2023,23:09.0,Station,Contactless,7
28,28,12/31/2023,53:44.0,Online,Credit Card,7
29,29,12/31/2023,19:53.0,Online,Contactless,86
30,30,12/31/2023,53:46.0,Online,Credit Card,34
31,31,12/31/2023,44:05.0,Station,Credit Card,13
32,32,12/31/2023,01:58.0,Online,Contactless,7
33,33,12/31/2023,39:00.0,Online,Credit Card,57
34,34,12/31/2023,33:15.0,Station,Debit Card,8
35,35,12/31/2023,45:53.0,Online,Credit Card,13
36,36,12/31/2023,20:25.0,Station,Contactless,35
37,37,12/31/2023,21:58.0,Online,Credit Card,5
38,38,1/1/2024,10:20.0,Station,Contactless,10
39,39,1/1/2024,16:20.0,Online,Contactless,4
40,40,1/1/2024,02:34.0,Station,Contactless,12
41,41,1/1/2024,03:49.0,Online,Credit Card,33
42,42,1/1/2024,35:48.0,Online,Credit Card,3
43,43,1/1/2024,52:29.0,Online,Credit Card,7
44,44,1/1/2024,09:42.0,Station,Credit Card,4
45,45,1/1/2024,31:41.0,Station,Credit Card,4
46,46,1/1/2024,54:54.0,Online,Credit Card,70
47,47,1/1/2024,05:29.0,Station,Contactless,70
48,48,1/1/2024,07:28.0,Station,Credit Card,16
49,49,1/1/2024,09:30.0,Station,Credit Card,134
50,50,1/1/2024,14:54.0,Online,Credit Card,29
51,51,1/1/2024,17:46.0,Station,Contactless,47
52,52,1/1/2024,08:28.0,Online,Credit Card,70
53,53,1/1/2024,14:16.0,Online,Credit Card,6
54,54,1/1/2024,18:48.0,Station,Credit Card,70
55,55,1/1/2024,34:08.0,Station,Credit Card,151
56,56,1/1/2024,41:14.0,Online,Credit Card,16
57,57,1/1/2024,48:45.0,Station,Credit Card,7
58,58,1/1/2024,20:14.0,Online,Contactless,25
59,59,1/1/2024,23:47.0,Online,Credit Card,25
60,60,1/1/2024,46:41.0,Station,Credit Card,5
61,61,1/1/2024,12:21.0,Online,Credit Card,15
62,62,1/1/2024,14:05.0,Online,Credit Card,21
63,63,1/1/2024,26:41.0,Online,Credit Card,3
64,64,1/1/2024,18:59.0,Station,Credit Card,7
65,65,1/1/2024,30:09.0,Station,Credit Card,134
66,66,1/1/2024,17:33.0,Online,Credit Card,53
67,67,1/1/2024,55:41.0,Station,Contactless,3
68,68,1/1/2024,54:54.0,Online,Contactless,12
69,69,1/1/2024,02:52.0,Station,Contactless,19
70,70,1/1/2024,30:03.0,Station,Contactless,3
71,71,1/1/2024,42:17.0,Station,Credit Card,9
72,72,1/1/2024,39:11.0,Station,Credit Card,151
73,73,1/1/2024,45:47.0,Online,Contactless,20
74,74,1/1/2024,03:03.0,Station,Credit Card,19
75,75,1/1/2024,41:05.0,Online,Credit Card,8
76,76,1/1/2024,02:28.0,Online,Credit Card,4
77,77,1/1/2024,11:31.0,Online,Credit Card,54
78,78,1/1/2024,17:53.0,Online,Credit Card,16
79,79,1/1/2024,43:02.0,Station,Debit Card,35
80,80,1/1/2024,39:18.0,Online,Credit Card,5
81,81,1/1/2024,32:26.0,Station,Debit Card,8
82,82,1/1/2024,33:56.0,Station,Credit Card,54
83,83,1/1/2024,22:05.0,Online,Credit Card,8
84,84,1/1/2024,24:38.0,Station,Contactless,57
85,85,1/1/2024,54:46.0,Station,Credit Card,3
86,86,1/1/2024,46:29.0,Station,Credit Card,10
87,87,1/1/2024,52:50.0,Station,Contactless,3
88,88,1/1/2024,44:51.0,Online,Contactless,6
89,89,1/1/2024,06:07.0,Station,Credit Card,54
90,90,1/2/2024,14:32.0,Station,Credit Card,17
91,91,1/2/2024,24:08.0,Online,Contactless,11
92,92,1/2/2024,26:21.0,Station,Credit Card,84
93,93,1/2/2024,27:40.0,Online,Contactless,11
94,94,1/2/2024,37:20.0,Online,Credit Card,41
95,95,1/2/2024,54:33.0,Online,Credit Card,10
96,96,1/2/2024,01:01.0,Online,Credit Card,3
97,97,1/2/2024,11:57.0,Online,Contactless,4
98,98,1/2/2024,17:27.0,Online,Contactless,23
99,99,1/2/2024,19:18.0,Online,Contactless,5
100,100,1/2/2024,22:25.0,Online,Credit Card,5
101,101,1/2/2024,26:15.0,Online,Contactless,5
102,102,1/2/2024,40:08.0,Online,Contactless,6
103,103,1/2/2024,51:12.0,Station,Credit Card,3
104,104,1/2/2024,52:53.0,Station,Credit Card,19
105,105,1/2/2024,13:53.0,Station,Credit Card,200
106,106,1/2/2024,03:36.0,Online,Contactless,2
107,107,1/2/2024,05:40.0,Online,Contactless,5
108,108,1/2/2024,12:53.0,Station,Contactless,12
109,109,1/2/2024,21:34.0,Online,Credit Card,86
110,110,1/2/2024,26:31.0,Station,Contactless,35
111,111,1/2/2024,27:03.0,Station,Credit Card,10
112,112,1/2/2024,30:17.0,Station,Credit Card,3
113,113,1/2/2024,30:57.0,Online,Credit Card,8
114,114,1/2/2024,32:43.0,Station,Credit Card,27
115,115,1/2/2024,33:32.0,Station,Credit Card,12
116,116,1/2/2024,36:25.0,Station,Credit Card,13
117,117,1/2/2024,38:22.0,Online,Credit Card,35
118,118,1/2/2024,48:41.0,Online,Contactless,10
119,119,1/2/2024,24:17.0,Station,Credit Card,4
120,120,1/2/2024,26:10.0,Station,Credit Card,10
121,121,1/2/2024,31:39.0,Online,Credit Card,3
122,122,1/2/2024,37:26.0,Online,Contactless,5
123,123,1/2/2024,47:49.0,Online,Contactless,47
124,124,1/2/2024,49:16.0,Station,Credit Card,13
125,125,1/2/2024,49:26.0,Online,Debit Card,17
126,126,1/2/2024,49:28.0,Online,Debit Card,17
127,127,1/2/2024,57:54.0,Online,Credit Card,3
128,128,1/2/2024,58:57.0,Online,Debit Card,70
129,129,1/2/2024,59:57.0,Online,Credit Card,3
130,130,1/2/2024,04:08.0,Online,Credit Card,14
131,131,1/2/2024,04:15.0,Online,Credit Card,13
132,132,1/2/2024,05:21.0,Online,Credit Card,29
133,133,1/2/2024,06:12.0,Station,Credit Card,107
134,134,1/2/2024,07:05.0,Station,Credit Card,84
135,135,1/2/2024,08:58.0,Station,Credit Card,27
136,136,1/2/2024,10:12.0,Online,Credit Card,7
137,137,1/2/2024,10:28.0,Online,Debit Card,143
138,138,1/2/2024,11:07.0,Online,Credit Card,43
139,139,1/2/2024,22:59.0,Station,Credit Card,5
140,140,1/2/2024,32:11.0,Online,Credit Card,23
141,141,1/2/2024,39:26.0,Online,Contactless,35
142,142,1/2/2024,50:39.0,Online,Credit Card,13
143,143,1/2/2024,00:14.0,Station,Credit Card,13
144,144,1/2/2024,01:54.0,Online,Credit Card,70
145,145,1/2/2024,04:35.0,Station,Contactless,6
146,146,1/2/2024,05:20.0,Online,Credit Card,70
147,147,1/2/2024,06:49.0,Station,Contactless,8
148,148,1/2/2024,08:48.0,Online,Credit Card,22
149,149,1/2/2024,09:57.0,Online,Credit Card,18
150,150,1/2/2024,21:22.0,Station,Credit Card,70
151,151,1/2/2024,31:43.0,Online,Contactless,13
152,152,1/2/2024,33:00.0,Station,Credit Card,235
153,153,1/2/2024,33:10.0,Station,Credit Card,151
154,154,1/2/2024,34:11.0,Station,Credit Card,78
155,155,1/2/2024,34:46.0,Station,Credit Card,151
156,156,1/2/2024,35:02.0,Online,Debit Card,143
157,157,1/2/2024,37:09.0,Station,Credit Card,151
158,158,1/2/2024,38:39.0,Online,Credit Card,16
159,159,1/2/2024,41:24.0,Online,Contactless,34
160,160,1/2/2024,42:03.0,Station,Credit Card,151
161,161,1/2/2024,42:12.0,Station,Credit Card,50
162,162,1/2/2024,45:49.0,Online,Credit Card,11
163,163,1/2/2024,58:18.0,Online,Credit Card,13
164,164,1/2/2024,04:40.0,Online,Credit Card,3
165,165,1/2/2024,05:39.0,Station,Credit Card,10
166,166,1/2/2024,16:54.0,Online,Credit Card,35
167,167,1/2/2024,18:16.0,Online,Contactless,25
168,168,1/2/2024,20:01.0,Online,Credit Card,25
169,169,1/2/2024,23:03.0,Station,Credit Card,7
170,170,1/2/2024,23:13.0,Station,Contactless,5
171,171,1/2/2024,23:34.0,Online,Credit Card,35
172,172,1/2/2024,24:34.0,Online,Credit Card,70
173,173,1/2/2024,28:16.0,Online,Credit Card,2
174,174,1/2/2024,29:21.0,Online,Credit Card,25
175,175,1/2/2024,32:42.0,Station,Contactless,12
176,176,1/2/2024,33:03.0,Station,Contactless,10
177,177,1/2/2024,33:15.0,Online,Credit Card,86
178,178,1/2/2024,33:23.0,Online,Contactless,3
179,179,1/2/2024,36:35.0,Online,Debit Card,35
180,180,1/2/2024,36:37.0,Online,Contactless,3
181,181,1/2/2024,36:53.0,Online,Contactless,4
182,182,1/2/2024,49:40.0,Online,Credit Card,2
183,183,1/2/2024,50:50.0,Online,Contactless,3
184,184,1/2/2024,54:11.0,Online,Credit Card,3
185,185,1/2/2024,00:20.0,Online,Credit Card,4
186,186,1/2/2024,01:16.0,Online,Credit Card,15
187,187,1/2/2024,02:35.0,Station,Credit Card,8
188,188,1/2/2024,11:33.0,Station,Credit Card,8
189,189,1/2/2024,15:45.0,Online,Credit Card,18
190,190,1/2/2024,19:27.0,Station,Contactless,35
191,191,1/2/2024,20:40.0,Online,Credit Card,13
192,192,1/2/2024,24:11.0,Station,Contactless,23
193,193,1/2/2024,27:13.0,Station,Credit Card,35
194,194,1/2/2024,27:57.0,Online,Credit Card,32
195,195,1/2/2024,28:15.0,Station,Contactless,35
196,196,1/2/2024,57:10.0,Online,Contactless,2
