Ticket_ID,Transaction_ID,Ticket_Class,Ticket_Type
4,4,Standard,Advance
5,5,Standard,Advance
6,6,Standard,Advance
7,7,Standard,Advance
8,8,Standard,Advance
9,9,Standard,Advance
10,10,Standard,Advance
11,11,Standard,Advance
12,12,Standard,Advance
13,13,Standard,Advance
14,14,Standard,Advance
15,15,Standard,Advance
16,16,Standard,Advance
17,17,Standard,Advance
18,18,Standard,Advance
19,19,Standard,Advance
20,20,Standard,Advance
21,21,Standard,Advance
22,22,Standard,Advance
23,23,Standard,Advance
24,24,Standard,Advance
25,25,Standard,Advance
26,26,Standard,Advance
27,27,Standard,Advance
28,28,Standard,Advance
29,29,Standard,Advance
30,30,Standard,Advance
31,31,Standard,Advance
32,32,Standard,Advance
33,33,Standard,Advance
34,34,Standard,Advance
35,35,Standard,Advance
36,36,Standard,Advance
37,37,Standard,Advance
38,38,Standard,Off-Peak
39,39,Standard,Off-Peak
40,40,Standard,Off-Peak
41,41,Standard,Off-Peak
42,42,Standard,Off-Peak
43,43,Standard,Advance
44,44,Standard,Off-Peak
45,45,Standard,Anytime
46,46,Standard,Anytime
47,47,Standard,Anytime
48,48,Standard,Anytime
49,49,Standard,Advance
50,50,Standard,Anytime
51,51,Standard,Anytime
52,52,Standard,Anytime
53,53,Standard,Anytime
54,54,Standard,Anytime
55,55,Standard,Anytime
56,56,Standard,Anytime
57,57,Standard,Anytime
58,58,Standard,Anytime
59,59,Standard,Anytime
60,60,Standard,Off-Peak
61,61,Standard,Advance
62,62,Standard,Advance
63,63,Standard,Advance
64,64,Standard,Off-Peak
65,65,Standard,Advance
66,66,Standard,Off-Peak
67,67,Standard,Off-Peak
68,68,Standard,Off-Peak
69,69,Standard,Off-Peak
70,70,Standard,Anytime
71,71,Standard,Anytime
72,72,Standard,Anytime
73,73,Standard,Anytime
74,74,Standard,Anytime
75,75,Standard,Advance
76,76,Standard,Anytime
77,77,Standard,Advance
78,78,Standard,Anytime
79,79,Standard,Advance
80,80,Standard,Advance
81,81,Standard,Advance
82,82,Standard,Advance
83,83,Standard,Advance
84,84,Standard,Advance
85,85,Standard,Advance
86,86,Standard,Advance
87,87,Standard,Advance
88,88,Standard,Advance
89,89,Standard,Advance
90,90,Standard,Off-Peak
91,91,Standard,Off-Peak
92,92,Standard,Off-Peak
93,93,Standard,Off-Peak
94,94,Standard,Off-Peak
95,95,Standard,Off-Peak
96,96,Standard,Advance
97,97,Standard,Off-Peak
98,98,Standard,Advance
99,99,Standard,Advance
100,100,Standard,Off-Peak
101,101,Standard,Advance
102,102,Standard,Advance
103,103,Standard,Advance
104,104,Standard,Off-Peak
105,105,Standard,Off-Peak
106,106,Standard,Advance
107,107,Standard,Advance
108,108,Standard,Off-Peak
109,109,Standard,Advance
110,110,Standard,Advance
111,111,Standard,Advance
112,112,Standard,Advance
113,113,Standard,Advance
114,114,Standard,Advance
115,115,Standard,Off-Peak
116,116,Standard,Advance
117,117,Standard,Advance
118,118,Standard,Off-Peak
119,119,Standard,Off-Peak
120,120,Standard,Off-Peak
121,121,Standard,Advance
122,122,Standard,Anytime
123,123,Standard,Anytime
124,124,Standard,Advance
125,125,Standard,Anytime
126,126,Standard,Anytime
127,127,Standard,Anytime
128,128,Standard,Anytime
129,129,Standard,Anytime
130,130,Standard,Anytime
131,131,Standard,Anytime
132,132,Standard,Anytime
133,133,Standard,Anytime
134,134,Standard,Advance
135,135,Standard,Anytime
136,136,Standard,Anytime
137,137,Standard,Anytime
138,138,Standard,Anytime
139,139,Standard,Anytime
140,140,Standard,Advance
141,141,Standard,Advance
142,142,Standard,Anytime
143,143,Standard,Anytime
144,144,Standard,Anytime
145,145,Standard,Anytime
146,146,Standard,Anytime
147,147,Standard,Advance
148,148,Standard,Advance
149,149,Standard,Anytime
150,150,Standard,Anytime
151,151,Standard,Anytime
152,152,Standard,Anytime
153,153,Standard,Anytime
154,154,Standard,Advance
155,155,Standard,Anytime
156,156,Standard,Anytime
157,157,Standard,Anytime
158,158,Standard,Anytime
159,159,Standard,Anytime
160,160,Standard,Anytime
161,161,Standard,Advance
162,162,Standard,Anytime
163,163,Standard,Anytime
164,164,Standard,Anytime
165,165,Standard,Advance
166,166,Standard,Anytime
167,167,Standard,Anytime
168,168,Standard,Anytime
169,169,Standard,Advance
170,170,Standard,Anytime
171,171,Standard,Anytime
172,172,Standard,Anytime
173,173,Standard,Advance
174,174,Standard,Anytime
175,175,Standard,Off-Peak
176,176,Standard,Off-Peak
177,177,Standard,Off-Peak
178,178,Standard,Advance
179,179,Standard,Off-Peak
180,180,Standard,Advance
181,181,Standard,Off-Peak
182,182,Standard,Advance
183,183,Standard,Off-Peak
184,184,Standard,Advance
185,185,Standard,Advance
186,186,Standard,Advance
187,187,Standard,Advance
188,188,Standard,Advance
189,189,Standard,Advance
190,190,Standard,Off-Peak
191,191,Standard,Advance
192,192,Standard,Advance
193,193,Standard,Advance
194,194,Standard,Advance
195,195,Standard,Off-Peak
196,196,Standard,Advance
197,197,Standard,Advance
198,198,Standard,Off-Peak
199,199,Standard,Advance
200,200,Standard,Advance
201,201,Standard,Advance
202,202,Standard,Advance
203,203,Standard,Off-Peak
204,204,Standard,Advance
205,205,Standard,Advance
206,206,Standard,Advance
207,207,Standard,Advance
208,208,Standard,Advance
209,209,Standard,Off-Peak
210,210,Standard,Off-Peak
211,211,Standard,Advance
212,212,Standard,Off-Peak
213,213,Standard,Advance
214,214,Standard,Advance
215,215,Standard,Advance
216,216,Standard,Advance
217,217,Standard,Advance
218,218,Standard,Off-Peak
219,219,Standard,Advance
220,220,Standard,Advance
221,221,Standard,Off-Peak
222,222,Standard,Advance
223,223,Standard,Advance
224,224,Standard,Advance
225,225,Standard,Off-Peak
226,226,Standard,Off-Peak
227,227,Standard,Off-Peak
228,228,Standard,Off-Peak
229,229,Standard,Advance
230,230,Standard,Off-Peak
231,231,Standard,Advance
232,232,Standard,Advance
233,233,Standard,Advance
234,234,Standard,Off-Peak
235,235,Standard,Off-Peak
236,236,Standard,Off-Peak
237,237,Standard,Advance
238,238,Standard,Advance
239,239,Standard,Advance
240,240,Standard,Off-Peak
241,241,Standard,Off-Peak
242,242,Standard,Off-Peak
243,243,Standard,Off-Peak
244,244,Standard,Advance
245,245,Standard,Off-Peak
246,246,Standard,Advance
247,247,Standard,Advance
248,248,Standard,Off-Peak
249,249,Standard,Anytime
250,250,Standard,Anytime
251,251,Standard,Anytime
252,252,Standard,Anytime
253,253,Standard,Anytime
254,254,Standard,Anytime
255,255,Standard,Anytime
256,256,Standard,Anytime
257,257,Standard,Anytime
258,258,Standard,Anytime
259,259,Standard,Advance
260,260,Standard,Advance
261,261,Standard,Anytime
262,262,Standard,Advance
263,263,Standard,Anytime
264,264,Standard,Anytime
265,265,Standard,Anytime
266,266,Standard,Anytime
267,267,Standard,Anytime
268,268,Standard,Anytime
269,269,Standard,Advance
270,270,Standard,Anytime
271,271,Standard,Advance
272,272,Standard,Advance
273,273,Standard,Advance
274,274,Standard,Advance
275,275,Standard,Advance
276,276,Standard,Advance
277,277,Standard,Advance
278,278,Standard,Advance
279,279,Standard,Advance
280,280,Standard,Anytime
281,281,Standard,Anytime
282,282,Standard,Anytime
283,283,Standard,Anytime
284,284,Standard,Advance
285,285,Standard,Anytime
286,286,Standard,Anytime
287,287,Standard,Anytime
288,288,Standard,Anytime
289,289,Standard,Anytime
290,290,Standard,Advance
291,291,Standard,Advance
292,292,Standard,Advance
293,293,Standard,Advance
294,294,Standard,Advance
295,295,Standard,Advance
296,296,Standard,Off-Peak
297,297,Standard,Advance
298,298,Standard,Advance
299,299,Standard,Advance
300,300,Standard,Off-Peak
301,301,Standard,Advance
302,302,Standard,Advance
303,303,Standard,Advance
304,304,Standard,Anytime
305,305,Standard,Off-Peak
306,306,Standard,Anytime
307,307,Standard,Advance
308,308,Standard,Off-Peak
309,309,Standard,Advance
310,310,Standard,Advance
311,311,Standard,Advance
312,312,Standard,Advance
313,313,Standard,Off-Peak
314,314,Standard,Off-Peak
315,315,Standard,Advance
316,316,Standard,Advance
317,317,Standard,Advance
318,318,Standard,Advance
319,319,Standard,Advance
320,320,Standard,Advance
321,321,Standard,Advance
322,322,Standard,Off-Peak
323,323,Standard,Advance
324,324,Standard,Off-Peak
325,325,Standard,Advance
326,326,Standard,Off-Peak
327,327,Standard,Advance
328,328,Standard,Advance
329,329,Standard,Advance
330,330,Standard,Advance
331,331,Standard,Advance
332,332,Standard,Advance
333,333,Standard,Advance
334,334,Standard,Advance
335,335,Standard,Advance
336,336,Standard,Advance
337,337,Standard,Advance
338,338,Standard,Advance
339,339,Standard,Advance
340,340,Standard,Advance
341,341,Standard,Advance
342,342,Standard,Advance
343,343,Standard,Advance
344,344,Standard,Off-Peak
345,345,Standard,Off-Peak
346,346,Standard,Advance
347,347,Standard,Advance
348,348,Standard,Advance
349,349,Standard,Advance
350,350,Standard,Advance
351,351,Standard,Advance
352,352,Standard,Advance
353,353,Standard,Advance
354,354,Standard,Advance
355,355,Standard,Advance
356,356,Standard,Advance
357,357,Standard,Advance
358,358,Standard,Advance
359,359,Standard,Advance
360,360,Standard,Advance
361,361,Standard,Advance
362,362,Standard,Advance
363,363,Standard,Advance
364,364,Standard,Advance
365,365,Standard,Off-Peak
366,366,Standard,Off-Peak
367,367,Standard,Off-Peak
368,368,Standard,Off-Peak
369,369,Standard,Off-Peak
370,370,Standard,Off-Peak
371,371,Standard,Off-Peak
372,372,Standard,Off-Peak
373,373,Standard,Off-Peak
